Date,Close1,Date,Close2
10/22/2020 16:00:00,36.7,10/22/2020 16:00:00,25.58
10/23/2020 16:00:00,36.75,10/23/2020 16:00:00,26.02
10/26/2020 16:00:00,35.49,10/26/2020 16:00:00,24.84
10/27/2020 16:00:00,34.16,10/27/2020 16:00:00,22.94
10/28/2020 16:00:00,33.65,10/28/2020 16:00:00,22.23
10/29/2020 16:00:00,34.06,10/29/2020 16:00:00,22.93
10/30/2020 16:00:00,33.41,10/30/2020 16:00:00,22.83
11/2/2020 16:00:00,34.81,11/2/2020 16:00:00,24.5
11/3/2020 16:00:00,35.77,11/3/2020 16:00:00,26.23
11/4/2020 16:00:00,40.99,11/4/2020 16:00:00,29.19
11/5/2020 16:00:00,41.96,11/5/2020 16:00:00,29.03
11/6/2020 16:00:00,44.87,11/6/2020 16:00:00,29.84
11/9/2020 16:00:00,48.18,11/9/2020 16:00:00,37.69
11/10/2020 16:00:00,47,11/10/2020 16:00:00,36.05
11/11/2020 16:00:00,46.23,11/11/2020 16:00:00,36.41
11/12/2020 16:00:00,46.4,11/12/2020 16:00:00,36.46
11/13/2020 16:00:00,47.61,11/13/2020 16:00:00,37.54
11/16/2020 16:00:00,49.21,11/16/2020 16:00:00,39.92
11/17/2020 16:00:00,48.89,11/17/2020 16:00:00,39.42
11/18/2020 16:00:00,49.11,11/18/2020 16:00:00,39.77
11/19/2020 16:00:00,49.26,11/19/2020 16:00:00,40.11
11/20/2020 16:00:00,48.43,11/20/2020 16:00:00,38.1
11/23/2020 16:00:00,50.04,11/23/2020 16:00:00,39.35
11/24/2020 16:00:00,51.26,11/24/2020 16:00:00,39.49
11/25/2020 16:00:00,50.8,11/25/2020 16:00:00,39.52
11/27/2020 13:00:00,50.72,11/27/2020 13:00:00,39.04
11/30/2020 16:00:00,49.66,11/30/2020 16:00:00,38.17
12/1/2020 16:00:00,49.63,12/1/2020 16:00:00,39.61
12/2/2020 16:00:00,53.09,12/2/2020 16:00:00,43.4
12/3/2020 16:00:00,52.52,12/3/2020 16:00:00,43.1
12/4/2020 16:00:00,54.86,12/4/2020 16:00:00,46.1
12/7/2020 16:00:00,53.8,12/7/2020 16:00:00,46.56
12/8/2020 16:00:00,53.01,12/8/2020 16:00:00,46.52
12/9/2020 16:00:00,53.79,12/9/2020 16:00:00,47.53
12/10/2020 16:00:00,54.35,12/10/2020 16:00:00,48.11
12/11/2020 16:00:00,52.63,12/11/2020 16:00:00,46.87
12/14/2020 16:00:00,51.46,12/14/2020 16:00:00,46.77
12/15/2020 16:00:00,51,12/15/2020 16:00:00,49.3
12/16/2020 16:00:00,50.49,12/16/2020 16:00:00,49.91
12/17/2020 16:00:00,50.63,12/17/2020 16:00:00,49.47
